ok	pA_B
t'	pA_I
inqui\e`te	pA_I
non	pA_I
non	pA_I
mais	pA_I
c'	pA_I
\e'tait	pA_I
juste	pA_I
pour	pA_I
que	pA_I
je	pA_I
me	pA_I
retrouve	pA_I
pas	pA_I
toute	pA_I
seule	pA_I
dehors	pA_I
en	pA_I
fait	pA_I
voil\a`	pA_L
	
ah	pA_B
mais	pA_I
parce	pA_I
que	pA_I
tu	pA_I
as	pA_I
plus	pA_I
de	pA_I
tickets	pA_L
	
ben	pA_B
si	pA_I
mais	pA_I
en	pA_I
fait	pA_I
\c,a	pA_I
\c,a	pA_I
m'	pA_I
\e'nerve	pA_I
un	pA_I
peu	pA_I
de	pA_I
faire	pA_I
la	pA_I
queue	pA_I
si	pA_I
tu	pA_I
veux	pA_L
	
d'	pA_B
accord	pA_L
ben	pA_B
\e'coute	pA_I
si	pA_I
tu	pA_I
veux	pA_I
on	pA_I
avise	pA_I
demain	pA_L
	
ok	pA_B
on	pA_I
verra	pA_I
\c,a	pA_I
demain	pA_I
alors	pA_L
	
bon	pA_B
voil\a`	pA_L
	
ok	pA_B
bisou	pA_L
	
bosse	pA_B
bien	pA_L
comment	pA_B
\c,a	pA_I
se	pA_I
fait	pA_I
que	pA_I
c'	pA_I
est	pA_I
pas	pA_I
ton	pA_I
num\e'ro	pA_I
en	pA_I
fait	pA_L
	
ah	pA_B
non	pA_I
mais	pA_I
s-	pA_I
c'	pA_I
est	pA_I
juste	pA_I
que	pA_I
en	pA_I
fait	pA_I
quand	pA_I
j'	pA_I
appelle	pA_I
avec	pA_I
mon	pA_I
fixe	pA_I
je	pA_I
paie	pA_I
rien	pA_I
du	pA_I
tout	pA_I
sur	pA_I
un	pA_I
portable	pA_I
fran\c,ais	pA_L
	
ah	pA_B
ok	pA_L
ok	pA_B
ok	pA_L
	
voil\a`	pA_U
	
bon	pA_B
ben	pA_I
d'	pA_I
accord	pA_L
bon	pA_B
ben	pA_I
allez	pA_L
bisou	pA_B
\a`	pA_I
demain	pA_L
	
bisou	pA_B
\a`	pA_I
demain	pA_L
	
et	pA_B
du	pA_I
coup	pA_I
euh	pA_I
ouais	pA_I
ouais	pA_I
ça	pA_I
y	pA_I
est	pA_I
je	pA_I
je	pA_I
attention	pA_I
j'	pA_I
ai	pA_I
reposé	pA_I
euh	pA_I
une	pA_I
euh	pA_I
une	pA_I
suspension	pA_I
tu	pA_I
sais	pA_I
une	pA_I
lampe	pA_I
et	pA_I
tout	pA_I
mais	pA_I
par	pA_I
contre	pA_I
je	pA_I
la	pA_I
regarde	pA_I
c'	pA_I
est	pA_I
fait	pA_I
n'	pA_I
importe	pA_I
comment	pA_I
elle	pA_I
s'	pA_I
est	pA_I
décrochée	pA_I
c'	pA_I
est	pA_I
ridicule	pA_L
	
déjà	pA_U
	
j'	pA_B
y	pA_I
ai	pA_I
passé	pA_I
deux	pA_I
heures	pA_I
non	pA_I
mais	pA_I
c'	pA_I
est	pA_I
ridicule	pA_I
hein	pA_I
franchement	pA_L
	
non	pA_B
mais	pA_I
bon	pA_I
et	pA_I
non	pA_I
mais	pA_I
c'	pA_I
est	pA_I
des	pA_I
amis	pA_I
qui	pA_I
viennent	pA_I
le	pA_I
samedi	pA_I
euh	pA_I
je	pA_I
suis	pA_I
allée	pA_I
acheter	pA_I
pour	pA_I
euh	pA_I
fixer	pA_I
mes	pA_I
meubles	pA_I
de	pA_I
cuisine	pA_I
et	pA_I
caetera	pA_I
donc	pA_I
je	pA_I
pense	pA_I
que	pA_I
chez	pA_I
moi	pA_I
ça	pA_I
sera	pA_I
un	pA_I
peu	pA_I
compliqué	pA_I
vendredi	pA_L
	
d'	pA_B
accord	pA_I
non	pA_I
mais	pA_I
y	pA_I
a	pA_I
pas	pA_I
de	pA_I
souci	pA_L
	
y	pA_B
a	pA_I
pas	pA_I
de	pA_I
souci	pA_I
euh	pA_L
	
ou	pA_B
alors	pA_I
sinon	pA_I
on	pA_I
peut	pA_I
aller	pA_I
dans	pA_I
un	pA_I
petit	pA_I
resto	pA_I
tu	pA_I
sais	pA_I
un	pA_I
truc	pA_I
rapidos	pA_I
euh	pA_I
carrément	pA_I
tu	pA_I
vois	pA_I
histoire	pA_I
de	pA_L
	
ouais	pA_B
ouais	pA_I
parce	pA_I
qu'	pA_I
on	pA_I
avait	pA_I
dit	pA_I
euh	pA_I
qu'	pA_I
on	pA_I
pouvait	pA_I
se	pA_I
faire	pA_I
des	pA_I
trucs	pA_I
un	pA_I
peu	pA_I
à	pA_I
l'	pA_I
extérieur	pA_I
c'	pA_I
est	pA_I
vrai	pA_I
que	pA_I
toujours	pA_I
à	pA_I
la	pA_I
maison	pA_I
c'	pA_I
est	pA_I
peut	pA_I
être	pA_I
moins	pA_I
drôle	pA_L
	
euh	pA_B
carrément	pA_I
carrément	pA_I
mais	pA_I
carrément	pA_I
on	pA_I
peut	pA_I
se	pA_I
faire	pA_I
un	pA_I
truc	pA_I
un	pA_I
petit	pA_I
resto	pA_I
ça	pA_I
peut	pA_I
être	pA_I
sympa	pA_L
	
ouais	pA_B
ouais	pA_I
voilà	pA_I
ouais	pA_L
donc	pA_B
euh	pA_L
hé	pA_B
ce	pA_I
que	pA_I
je	pA_I
vais	pA_I
faire	pA_I
ouais	pA_I
je	pA_I
vais	pA_I
envoyer	pA_I
un	pA_I
mail	pA_I
et	pA_I
puis	pA_I
comme	pA_I
ça	pA_I
on	pA_I
verra	pA_I
si	pA_I
peuvent	pA_I
déjà	pA_I
le	pA_I
samedi	pA_I
s-	pA_I
le	pA_I
vendredi	pA_I
soir	pA_I
et	pA_I
puis	pA_I
euh	pA_I
voilà	pA_L
	
ok	pA_B
y	pA_I
a	pA_I
pas	pA_I
de	pA_I
souci	pA_I
ben	pA_I
on	pA_I
fait	pA_I
comme	pA_I
ça	pA_I
nickel	pA_L
trop	pA_B
cool	pA_L
	
trop	pA_B
trop	pA_I
cool	pA_I
bon	pA_I
ben	pA_I
ça	pA_I
va	pA_I
me	pA_I
faire	pA_I
bien	pA_I
plaisir	pA_I
de	pA_I
vous	pA_I
voir	pA_L
	
ouais	pA_U
	
c'	pA_B
est	pA_I
à	pA_I
dire	pA_I
qu'	pA_I
y	pA_I
en	pA_I
a	pA_I
cinq	pA_I
i-	pA_I
qui	pA_I
doivent	pA_I
être	pA_I
en	pA_I
binômes	pA_L
	
ouais	pA_U
	
et	pA_B
elle	pA_I
vient	pA_I
juste	pA_I
de	pA_I
savoir	pA_I
la	pA_I
semaine	pA_I
dernière	pA_I
que	pA_I
tu	pA_I
sais	pA_I
normalement	pA_I
ben	pA_I
ils	pA_I
sont	pA_I
trente	pA_I
cinq	pA_I
i-	pA_I
ils	pA_I
enregistrent	pA_I
tous	pA_I
des	pA_I
trucs	pA_I
pour	pA_I
faire	pA_I
voir	pA_I
justement	pA_I
qu'	pA_I
ils	pA_I
ont	pA_I
fait	pA_I
quelque	pA_I
chose	pA_I
de	pA_I
leur	pA_I
s-	pA_I
durant	pA_I
leur	pA_I
journée	pA_L
	
ouais	pA_U
	
et	pA_B
vu	pA_I
qu'	pA_I
elle	pA_I
elle	pA_I
était	pA_I
avec	pA_I
un	pA_I
binôme	pA_I
et	pA_I
que	pA_I
c'	pA_I
est	pA_I
le	pA_I
binôme	pA_I
qui	pA_I
a	pA_I
enregistré	pA_I
hé	pA_I
ben	pA_I
elle	pA_I
ça	pA_I
compte	pA_I
pas	pA_L
c'	pA_B
est	pA_I
à	pA_I
dire	pA_I
qu'	pA_I
il	pA_I
faut	pA_I
qu'	pA_I
elle	pA_I
trouve	pA_I
du	pA_I
temps	pA_I
en	pA_I
plus	pA_I
et	pA_I
qu'	pA_I
elle	pA_I
refasse	pA_I
son	pA_I
truc	pA_I
elle	pA_I
même	pA_L
	
c'	pA_B
est	pA_I
à	pA_I
dire	pA_I
sans	pA_I
le	pA_I
formateur	pA_I
avec	pA_I
elle	pA_I
au	pA_I
cas	pA_I
où	pA_I
elle	pA_I
a	pA_I
pas	pA_I
compris	pA_L
et	pA_B
euh	pA_I
ça	pA_I
ça	pA_I
enfin	pA_I
en	pA_I
plus	pA_I
des	pA_I
heures	pA_I
qu'	pA_I
elle	pA_I
fait	pA_I
et	pA_I
je	pA_I
te	pA_I
dis	pA_I
qu'	pA_I
elle	pA_I
fait	pA_I
vraiment	pA_I
des	pA_I
heures	pA_I
hein	pA_I
pour	pA_I
le	pA_I
coup	pA_I
euh	pA_I
c'	pA_I
était	pA_I
impressionnant	pA_L
donc	pA_B
du	pA_I
coup	pA_I
elle	pA_I
est	pA_I
un	pA_I
peu	pA_I
déçue	pA_I
quoi	pA_L
donc	pA_B
ça	pA_I
l'	pA_I
a	pA_I
bien	pA_I
saoulée	pA_I
et	pA_I
puis	pA_I
bon	pA_I
elle	pA_I
est	pA_I
un	pA_I
peu	pA_I
comme	pA_I
moi	pA_I
tu	pA_I
sais	pA_I
elle	pA_I
a	pA_I
pas	pA_I
trop	pA_I
confiance	pA_I
en	pA_I
elle	pA_I
donc	pA_I
euh	pA_I
du	pA_I
coup	pA_I
euh	pA_I
ça	pA_I
a	pA_I
été	pA_I
un	pA_I
peu	pA_I
la	pA_I
catastrophe	pA_I
la	pA_I
semaine	pA_I
dernière	pA_L
mais	pA_B
bon	pA_I
ils	pA_I
la	pA_I
gardent	pA_I
elle	pA_I
l'	pA_I
a	pA_I
su	pA_I
elle	pA_I
a	pA_I
eu	pA_I
son	pA_I
mois	pA_I
d'	pA_I
essai	pA_I
ils	pA_I
la	pA_I
gardent	pA_L
en	pA_B
plus	pA_I
cette	pA_I
semaine	pA_I
elle	pA_I
nous	pA_I
a	pA_I
appelés	pA_I
pour	pA_I
nous	pA_I
dire	pA_I
tu	pA_I
sais	pA_I
que	pA_I
normalement	pA_I
quand	pA_I
tu	pA_I
fais	pA_I
une	pA_I
formation	pA_I
comme	pA_I
ça	pA_I
tu	pA_I
es	pA_I
prise	pA_I
automatiquement	pA_I
tu	pA_I
es	pA_I
prise	pA_I
dans	pA_I
l'	pA_I
entreprise	pA_L
	
hm	pA_U
	
tu	pA_B
sais	pA_I
tu	pA_I
fais	pA_I
la	pA_I
formation	pA_I
c'	pA_I
est	pA_I
eux	pA_I
qui	pA_I
