allô	29	30	28	 pA_B
c	29	30	29	 pA_I
est	29	30	29	 pA_L

oui	26	28	26	 pA_U
	 	 	 	 
ça	28	28	27	 pA_B
va	29	30	27	 pA_L
	 	 	 	 
oui	27	28	26	 pA_B
et	28	29	27	 pA_I
toi	28	29	27	 pA_L
	 	 	 	 
ça	28	28	27	 pA_B
va	28	29	27	 pA_L
dis	28	28	28	 pA_B
je	29	29	28	 pA_I
voulais	29	29	29	 pA_I
te	29	29	29	 pA_I
demander	29	29	29	 pA_L
demain	27	27	26	 pA_B
vu	29	30	28	 pA_I
que	29	29	28	 pA_I
on	29	29	28	 pA_I
a	29	29	29	 pA_I
qu	29	29	29	 pA_I
une	29	29	29	 pA_I
heure	29	29	28	 pA_I
pour	29	29	28	 pA_I
manger	29	29	28	 pA_I
euh	29	29	28	 pA_I
ça	29	29	28	 pA_I
te	29	29	28	 pA_I
dit	29	29	29	 pA_I
que	28	29	28	 pA_I
on	29	29	28	 pA_I
aille	29	29	29	 pA_I
manger	29	29	29	 pA_I
dehors	29	29	29	 pA_L

tout	28	28	27	 pA_B
ra	28	29	27	 pA_L
tis	28	28	28	 pA_B
pe	29	29	28	 pA_I
souhaite	29	29	29	 pA_I
te	29	29	29	 pA_I
tenamter	29	29	29	 pA_L
tenaim	27	27	26	 pA_B
fu	29	30	28	 pA_I
kue	29	29	28	 pA_I
om	29	29	28	 pA_I
e	29	29	29	 pA_I
ku'	29	29	29	 pA_I
yne	29	29	29	 pA_I
heule	29	29	28	 pA_I
boul	29	29	28	 pA_I
namjel	29	29	28	 pA_I
euh	29	29	28	 pA_I
sa	29	29	28	 pA_I
be	29	29	28	 pA_I
tid	29	29	29	 pA_I
kue	28	29	28	 pA_I
om	29	29	28	 pA_I
aimme	29	29	29	 pA_I
namjel	29	29	29	 pA_I
tehort	29	29	29	 pA_L

za	28	28	27	 pA_B
ra	28	29	27	 pA_L
tip	28	28	28	 pA_B
pe	29	29	28	 pA_I
boulais	29	29	29	 pA_I
xe	29	29	29	 pA_I
xemander	29	29	29	 pA_L
xemain	27	27	26	 pA_B
xu	29	30	28	 pA_I
xue	29	29	28	 pA_I
yn	29	29	28	 pA_I
a	29	29	29	 pA_I
su'	29	29	29	 pA_I
use	29	29	29	 pA_I
heuse	29	29	28	 pA_I
pous	29	29	28	 pA_I
manges	29	29	28	 pA_I
eus	29	29	28	 pA_I
ba	29	29	28	 pA_I
be	29	29	28	 pA_I
bit	29	29	29	 pA_I
bue	28	29	28	 pA_I
ob	29	29	28	 pA_I
aibbe	29	29	29	 pA_I
manber	29	29	29	 pA_I
dehorb	29	29	29	 pA_L

va	28	28	27	 pA_B
ba	28	29	27	 pA_L
vis	28	28	28	 pA_B
ve	29	29	28	 pA_I
noulais	29	29	29	 pA_I
ve	29	29	29	 pA_I
vemander	29	29	29	 pA_L
vemain	27	27	26	 pA_B
bu	29	30	28	 pA_I
bue	29	29	28	 pA_I
ob	29	29	28	 pA_I
a	29	29	29	 pA_I
bu'	29	29	29	 pA_I
ube	29	29	29	 pA_I
heebe	29	29	28	 pA_I
poub	29	29	28	 pA_I
banger	29	29	28	 pA_I
eub	29	29	28	 pA_I
ba	29	29	28	 pA_I
be	29	29	28	 pA_I
bit	29	29	29	 pA_I
bue	28	29	28	 pA_I
ob	29	29	28	 pA_I
aivve	29	29	29	 pA_I
manver	29	29	29	 pA_I
vehors	29	29	29	 pA_L

pa	28	28	27	 pA_B
pa	28	29	27	 pA_L
pis	28	28	28	 pA_B
pe	29	29	28	 pA_I
poulais	29	29	29	 pA_I
pe	29	29	29	 pA_I
pemander	29	29	29	 pA_L
pemain	27	27	26	 pA_B
pu	29	30	28	 pA_I
pue	29	29	28	 pA_I
op	29	29	28	 pA_I
a	29	29	29	 pA_I
pu'	29	29	29	 pA_I
upe	29	29	29	 pA_I
peure	29	29	28	 pA_I
poup	29	29	28	 pA_I
pangep	29	29	28	 pA_I
eup	29	29	28	 pA_I
pa	29	29	28	 pA_I
pe	29	29	28	 pA_I
pit	29	29	29	 pA_I
pue	28	29	28	 pA_I
op	29	29	28	 pA_I
aippe	29	29	29	 pA_I
panger	29	29	29	 pA_I
pehors	29	29	29	 pA_L

ra	28	28	27	 pA_B
ra	28	29	27	 pA_L
ris	28	28	28	 pA_B
re	29	29	28	 pA_I
roulais	29	29	29	 pA_I
re	29	29	29	 pA_I
remander	29	29	29	 pA_L
remain	27	27	26	 pA_B
ru	29	30	28	 pA_I
rue	29	29	28	 pA_I
or	29	29	28	 pA_I
a	29	29	29	 pA_I
ru'	29	29	29	 pA_I
ure	29	29	29	 pA_I
reure	29	29	28	 pA_I
rour	29	29	28	 pA_I
ranger	29	29	28	 pA_I
eur	29	29	28	 pA_I
ra	29	29	28	 pA_I
re	29	29	28	 pA_I
rit	29	29	29	 pA_I
rue	28	29	28	 pA_I
or	29	29	28	 pA_I
airre	29	29	29	 pA_I
ranger	29	29	29	 pA_I
rehors	29	29	29	 pA_L

ga	28	28	27	 pA_B
ga	28	29	27	 pA_L
gis	28	28	28	 pA_B
ge	29	29	28	 pA_I
goulais	29	29	29	 pA_I
ge	29	29	29	 pA_I
gemander	29	29	29	 pA_L
gemain	27	27	26	 pA_B
gu	29	30	28	 pA_I
gue	29	29	28	 pA_I
og	29	29	28	 pA_I
a	29	29	29	 pA_I
gu'	29	29	29	 pA_I
uge	29	29	29	 pA_I
geure	29	29	28	 pA_I
gour	29	29	28	 pA_I
ganger	29	29	28	 pA_I
eug	29	29	28	 pA_I
ga	29	29	28	 pA_I
ge	29	29	28	 pA_I
git	29	29	29	 pA_I
gue	28	29	28	 pA_I
og	29	29	28	 pA_I
aigge	29	29	29	 pA_I
ganger	29	29	29	 pA_I
gehors	29	29	29	 pA_L

ha	28	28	27	 pA_B
ha	28	29	27	 pA_L
his	28	28	28	 pA_B
he	29	29	28	 pA_I
houlais	29	29	29	 pA_I
he	29	29	29	 pA_I
hemander	29	29	29	 pA_L
hemain	27	27	26	 pA_B
hu	29	30	28	 pA_I
hue	29	29	28	 pA_I
oh	29	29	28	 pA_I
a	29	29	29	 pA_I
hu'	29	29	29	 pA_I
uhe	29	29	29	 pA_I
heuhe	29	29	28	 pA_I
hour	29	29	28	 pA_I
hanger	29	29	28	 pA_I
euj	29	29	28	 pA_I
ha	29	29	28	 pA_I
he	29	29	28	 pA_I
hit	29	29	29	 pA_I
hue	28	29	28	 pA_I
