hé	INT	ARTIC_U	157	167	146	0.11629	61	68	44	pA_B
bien	ADV	ARTIC_U	179	208	145	0.4450000000000003	69	74	55	pA_I
euh	INT	ARTIC_U	163	211	143	0.25597999999999965	68	74	59	pA_I
bonsoir	NOM	FNO_U	185	217	142	0.40264999999999995	70	78	55	pA_I
à	PRP	PP_B	211	215	199	0.07625000000000037	76	78	75	pA_I
tous	NOM	PP_L	303	326	206	0.30498000000000003	69	77	50	pA_I
et	KON	ARTIC_U	241	276	223	0.07658999999999994	74	76	69	pA_I
merci	NOM	FNO_U	229	274	198	0.29346000000000005	72	76	65	pA_I
d'	PRP	PP_B	189	224	165	0.21455000000000002	67	78	56	pA_I
être	VER:infi	PP_L	189	224	165	0.21455000000000002	67	78	56	pA_I
restés	VER:pper	PP_B	211	248	187	0.29231000000000007	69	76	57	pA_I
si	ADV	PP_I	213	227	197	0.12404999999999955	69	73	66	pA_I
nombreux	ADJ	PP_L	207	223	194	0.5321199999999999	75	82	55	pA_L
										
bon	ADV	ARTIC_U	184	235	138	0.4786799999999998	70	84	45	pA_B
euh	INT	ARTIC_U	170	191	156	0.31691	73	77	48	pA_I
alors	ADV	ARTIC_U	161	171	155	0.17129999999999956	73	76	69	pA_I
j'	PRO:PER	VP_B	201	221	152	0.11617999999999995	72	80	68	pA_I
ai	VER:pres	VP_L	201	221	152	0.11617999999999995	72	80	68	pA_I
un	DET:ART	NP_B	207	216	183	0.12011000000000038	78	82	65	pA_I
petit	ADJ	NP_I	221	235	206	0.14570999999999934	67	78	52	pA_I
soucis	NOM	NP_L	205	243	76	0.5040700000000005	72	78	58	pA_I
de	PRP	PP_B	165	180	75	0.3308	68	74	54	pA_I
d'	DET:ART	PP_I	177	196	154	0.35036999999999985	69	76	54	pA_I
emploi	NOM	PP_L	177	196	154	0.35036999999999985	69	76	54	pA_I
du	PRP:det	PP_B	161	170	143	0.16737000000000002	68	75	60	pA_I
temps	NOM	PP_L	206	221	197	0.17918000000000056	68	79	50	pA_I
enfin	ADV	ARTIC_U	195	237	140	0.23826000000000036	74	80	66	pA_I
