ouais	NA	NA	NA	0.176862	49	56	37	pA_B
je	NA	NA	NA	0.17369900000000002	41	47	34	pA_I
vais	188	188	188	0.105128	54	56	50	pA_I
voir	NA	NA	NA	0.268485	50	55	40	pA_L
ouais	NA	NA	NA	0.17083999999999988	47	54	37	pA_U
la	244	270	221	0.11581999999999981	63	72	43	pA_B
fée	424	457	270	0.16450999999999993	65	69	59	pA_I
sorcière	220	461	158	0.6716700000000002	55	67	36	pA_L
on	220	233	209	0.11455000000000126	61	69	53	pA_B
y	212	216	208	0.10444999999999993	68	69	67	pA_I
va	269	350	215	0.22499999999999964	61	65	58	pA_L
la	204	214	187	0.13319999999999865	69	80	46	pA_B
fée	391	484	213	0.1997	76	81	71	pA_I
Marine	323	479	246	0.3996000000000013	76	80	71	pA_I
vivait	255	310	208	0.3091999999999988	72	77	61	pA_I
avec	230	258	213	0.28380000000000116	71	78	55	pA_I
sa	216	246	193	0.16530000000000022	74	77	69	pA_I
maman	188	253	173	0.3736999999999995	71	76	54	pA_I
là	217	224	210	0.17290000000000028	74	79	55	pA_I
haut	255	330	221	0.16189999999999927	78	80	74	pA_I
sur	255	331	217	0.22710000000000008	71	75	65	pA_I
un	203	217	195	0.08360000000000056	76	77	75	pA_I
nuage	211	739	169	0.579699999999999	70	78	56	pA_I
dans	208	222	187	0.1595000000000013	72	80	53	pA_I
un	210	224	192	0.1593	76	78	71	pA_I
château	308	463	215	0.5299999999999994	72	83	47	pA_I
aux	210	216	196	0.14620000000000033	70	79	56	pA_I
tours	322	718	226	0.25070000000000014	69	75	53	pA_I
dorées	179	232	147	0.3769999999999989	69	76	53	pA_L
pour	695	708	682	0.11459999999999937	72	80	64	pA_B
son	251	264	243	0.15670000000000073	75	77	71	pA_I
anniversaire	237	736	165	0.8568999999999996	70	78	54	pA_I
elle	188	195	177	0.11370000000000147	75	77	71	pA_I
reçut	234	323	178	0.37849999999999895	71	76	53	pA_I
une	179	199	156	0.2298000000000009	67	74	55	pA_I
baguette	196	236	155	0.33429999999999893	68	74	54	pA_I
magique	178	210	161	0.6014000000000017	59	70	45	pA_L
une	208	219	185	0.24520000000000053	77	82	49	pA_B
bête	230	325	148	0.44399999999999906	72	82	57	pA_I
baguette	223	718	164	0.4306999999999981	70	78	56	pA_I
magique	331	721	165	0.6011000000000024	63	76	55	pA_L
Marine	266	366	182	0.49659999999999727	71	81	47	pA_B
aurait	214	230	195	0.21860000000000213	75	79	65	pA_I
de	201	212	182	0.1191999999999993	75	79	69	pA_I
loin	230	280	183	0.2680000000000007	76	78	73	pA_I
préféré	334	751	193	0.4204000000000008	75	81	65	pA_I
des	199	255	153	0.14589999999999748	71	77	59	pA_I
patins	179	197	165	0.26670000000000016	68	77	53	pA_I
à	162	165	158	0.13840000000000074	73	75	72	pA_I
roulettes	278	347	208	0.5485000000000007	68	78	49	pA_I
mais	265	276	257	0.16399999999999793	71	77	55	pA_I
il	264	277	243	0.1645000000000003	73	76	69	pA_I
n'	244	257	236	0.11749999999999972	75	75	74	pA_I
en	244	257	236	0.11749999999999972	75	75	74	pA_I
était	227	248	211	0.23499999999999943	71	76	59	pA_I
pas	190	195	186	0.12010000000000076	70	78	56	pA_I
question	254	707	164	0.47279999999999944	64	75	51	pA_L
								
pourquoi	385	508	272	0.323599999999999	63	76	46	pA_B
elle	352	487	247	0.1645000000000003	67	72	54	pA_I
dit	231	250	213	0.15670000000000073	65	67	55	pA_I
bête	257	314	208	0.6502000000000017	59	73	47	pA_L
								
parce	112	199	88	0.7746999999999993	67	75	45	pA_B
que	112	199	88	0.7746999999999993	67	75	45	pA_I
pour	312	744	186	0.21030000000000015	70	79	55	pA_I
elle	206	219	191	0.12130000000000152	70	71	67	pA_I
c'	98	211	93	0.25590000000000046	67	70	62	pA_I
est	98	211	93	0.25590000000000046	67	70	62	pA_I
euh	94	208	87	0.37079999999999913	67	69	66	pA_I
une	195	204	168	0.1958999999999982	76	78	70	pA_I
bête	188	206	160	0.22710000000000008	71	79	62	pA_I
baguette	181	195	167	0.2873000000000019	69	77	53	pA_I
magi-	207	233	190	0.21620000000000061	69	74	57	pA_I
c'	206	220	193	0.19369999999999976	70	77	66	pA_I
est	206	220	193	0.19369999999999976	70	77	66	pA_I
une	190	193	187	0.11489999999999867	76	78	73	pA_I
simple	309	720	194	0.3457000000000008	72	78	60	pA_I
baguette	147	201	75	0.33319999999999794	64	72	48	pA_I
magique	205	221	186	0.36780000000000257	64	72	51	pA_I
elle	127	181	78	0.11529999999999774	67	68	65	pA_I
elle	172	182	163	0.11749999999999972	67	69	62	pA_I
voulait	167	174	162	0.16710000000000136	60	66	49	pA_I
quelque	81	84	75	0.14359999999999928	59	67	46	pA_I
chose	91	95	87	0.20629999999999882	60	67	53	pA_I
de	80	84	78	0.12530000000000285	60	65	55	pA_I
beaucoup	84	87	82	0.30290000000000106	55	64	48	pA_I
plus	194	202	189	0.3170999999999964	60	71	48	pA_I
tu	212	223	203	0.0817999999999941	55	69	47	pA_I
vois	204	207	200	0.053400000000003445	71	71	70	pA_I
elle	190	206	177	0.07049999999999557	71	72	71	pA_I
voulait	177	185	161	0.20890000000000697	69	73	66	pA_I
des	161	168	151	0.12279999999999802	67	71	63	pA_I
rollers	153	179	69	0.33160000000000167	67	71	61	pA_I
en	79	79	79	0.11229999999999762	62	64	57	pA_I
fait	NA	NA	NA	0.3680999999999983	55	64	47	pA_L
mais	215	231	198	0.13419999999999987	76	80	68	pA_B
il	260	292	211	0.14630000000000365	76	77	74	pA_I
n'	216	275	189	0.16969999999999885	77	78	75	pA_I
en	216	275	189	0.16969999999999885	77	78	75	pA_I
était	208	249	158	0.31329999999999814	72	78	56	pA_I
pas	210	213	205	0.12279999999999802	69	74	53	pA_I
question	291	605	76	0.4788000000000068	67	81	52	pA_L
tu	318	334	294	0.14809999999999945	69	79	56	pA_B
pourrais	367	409	330	0.2897999999999996	76	85	60	pA_I
te	238	267	207	0.14620000000000033	69	78	56	pA_I
casser	280	346	256	0.30819999999999936	75	79	57	pA_I
le	237	278	217	0.15100000000000335	76	78	74	pA_I
nez	209	219	178	0.13360000000000127	77	78	75	pA_I
en	179	189	168	0.1272999999999982	69	75	55	pA_I
tombant	322	423	251	0.3650999999999982	70	79	50	pA_I
lui	207	231	183	0.17379999999999995	71	76	59	pA_I
dit	202	208	190	0.0945999999999998	67	72	59	pA_I
sa	197	220	182	0.16969999999999885	69	71	67	pA_I
maman	179	187	171	0.3149000000000015	68	72	55	pA_L
ce	221	225	217	0.12650000000000006	65	75	58	pA_B
ne	196	217	188	0.11480000000000246	75	76	71	pA_I
serait	215	232	194	0.35249999999999915	71	75	50	pA_I
pas	157	170	149	0.15400000000000347	69	74	54	pA_I
digne	192	238	148	0.3003	70	75	58	pA_I
d'	174	181	150	0.26379999999999626	66	71	56	pA_I
une	174	181	150	0.26379999999999626	66	71	56	pA_I
fée	179	207	152	0.33320000000000505	63	72	53	pA_L
comme	387	425	346	0.2225000000000037	71	80	54	pA_B
cadeau	216	312	164	0.45019999999999527	67	78	45	pA_I
Marine	256	342	193	0.5641999999999996	70	79	46	pA_I
aurait	215	233	192	0.26240000000000663	71	77	54	pA_I
aussi	288	379	245	0.2819999999999965	72	76	59	pA_I
apprécié	350	744	228	0.4204000000000008	72	79	61	pA_I
de	233	288	210	0.12230000000000274	73	76	69	pA_I
recevoir	214	233	189	0.48919999999999675	72	75	65	pA_I
un	198	215	175	0.09879999999999711	73	75	68	pA_I
bateau	182	203	158	0.39050000000000296	64	74	50	pA_L
il	216	218	213	0.10070000000000334	73	80	58	pA_B
n'	209	215	203	0.13249999999999318	78	79	77	pA_I
en	209	215	203	0.13249999999999318	78	79	77	pA_I
est	186	203	171	0.1933000000000007	65	77	46	pA_I
pas	347	354	338	0.13050000000000495	73	80	59	pA_I
question	280	726	136	0.44950000000000045	70	79	54	pA_L
								
s'	179	204	168	0.5439000000000007	64	74	47	pA_B
exclama	179	204	168	0.5439000000000007	64	74	47	pA_I
sa	368	746	166	0.1658000000000044	66	69	60	pA_I
maman	145	166	68	0.32260000000000133	64	68	55	pA_L
								
tu	190	190	189	0.1355000000000004	63	69	55	pA_B
pourrais	278	678	156	0.2845999999999975	73	81	58	pA_I
basculer	207	250	156	0.4830000000000041	72	81	58	pA_I
dans	199	232	164	0.1933000000000007	75	77	69	pA_I
l'	236	252	213	0.21829999999999927	71	76	58	pA_I
eau	236	252	213	0.21829999999999927	71	76	58	pA_I
ta	310	321	302	0.12199999999999989	78	82	71	pA_I
robe	301	312	285	0.18019999999999925	76	83	64	pA_I
serait	308	735	191	0.35249999999999915	74	76	70	pA_I
dégoutante	296	428	188	0.597999999999999	70	82	45	pA_I
et	279	320	255	0.0887999999999991	70	77	56	pA_I
ton	245	248	230	0.10179999999999723	71	77	59	pA_I
chapeau	301	415	218	0.39170000000000016	74	82	54	pA_I
bon	296	425	171	0.2950000000000017	75	81	68	pA_I
à	372	403	345	0.10960000000000036	75	77	71	pA_I
jeter	237	370	172	0.38410000000000366	65	78	50	pA_L
les	199	209	193	0.15959999999999752	77	82	54	pA_B
fées	404	715	245	0.21280000000000143	77	82	70	pA_I
devaient	209	245	193	0.24190000000000111	75	81	66	pA_I
toujours	267	285	232	0.2897999999999996	73	77	60	pA_I
